Наименование;Цена;Старая цена;Скидка
Головоломка Лев;293,85 Pуб;293,85 Pуб;0%
УДИВИТЕЛЬНЫЙ ФЛАМИНГО-АРТИКУЛ;881,73 Pуб;881,73 Pуб;0%
БИЧЕР МИС 3 ПЕРСОНАЖА;1 700 Pуб;1 700 Pуб;0%
Песчаный спинозавр;180,23 Pуб;180,23 Pуб;0%
БАРСУК МИЛЫЙ ШАРНИРНЫЙ БРЕЛОК МАГНИТ НА ХОЛОДИЛЬНИК;203,44 Pуб;203,44 Pуб;0%
НАМИ - ПО ЦВЕТАМ;396,28 Pуб;396,28 Pуб;0%
Низкополигональный Пикачу;495.36;990.71 Pуб;-50%
Папа Смурф;636,85 Pуб;636,85 Pуб;0%
Low Poly Link - Ocarina of Time;990,71 Pуб;990,71 Pуб;0%
Хранитель кубиков для собак;271,25 Pуб;271,25 Pуб;0%
АРТИКУЛИРОВАННЫЙ МИЛЫЙ ГЕККОН В ТОЛСТОВКЕ MIU MIU БРЮКАХ-КАРГО И КЕДАХ CONVERSE CHUCK 70;579.56;643.96 Pуб;-10%
Ностальгия Легкая печать без поддержки;123,84 Pуб;123,84 Pуб;0%
Бюст Iron Maiden -Senjutsu-;736,89 Pуб;736,89 Pуб;0%
Звезда смерти;396,28 Pуб;396,28 Pуб;0%
Фрактальная скульптура Сфера;451.62;903.25 Pуб;-50%
Zil 130;0.5;1 356.24 Pуб;-50%
Коврик Flexi Print-in-Place;226,04 Pуб;226,04 Pуб;0%
Артикулированный бронтозавр;Бесплатно;Бесплатно;0%
Артикулированный анкилозавр;271,25 Pуб;271,25 Pуб;0%
Стул Василия;180,83 Pуб;180,83 Pуб;0%
Халк;452,08 Pуб;452,08 Pуб;0%
Конфеты Денди;0.4;1 356.24 Pуб;-60%
Inside Out 2 - New Characters Pack Легкая печать без поддержки;297,21 Pуб;297,21 Pуб;0%
Плантатор Дракон;226,04 Pуб;226,04 Pуб;0%
ДЕРЖАТЕЛЬ ДЖОЙСТИКА TREECKO - ДЕРЖАТЕЛЬ КОНТРОЛЛЕРА POKEMON;297,21 Pуб;297,21 Pуб;0%
Дракон;Бесплатно;Бесплатно;0%
Органайзер для цветов;185,26 Pуб;185,26 Pуб;0%
bearbrickthread;117,67 Pуб;117,67 Pуб;0%
бюст рыцаря;Бесплатно;Бесплатно;0%
Ветряной спиннер Двойная спираль;99,07 Pуб;99,07 Pуб;0%
Череп рыбака;594,43 Pуб;594,43 Pуб;0%
Дух леса;495,36 Pуб;495,36 Pуб;0%
Держатель для карандашей с изображением хорька;215,40 Pуб;215,40 Pуб;0%
КОНТРОЛЛЕР ДЕРЖАТЕЛЯ PSYDUCK - ПО ЦВЕТАМ;346,75 Pуб;346,75 Pуб;0%
Шарнирная цикада с гибким телом и ногами;225,14 Pуб;225,14 Pуб;0%
Flexi Little Pig Print in Place STL и 3MF;249,12 Pуб;249,12 Pуб;0%
Очаровательная флекси-красная панда с принтом на месте;249,12 Pуб;249,12 Pуб;0%
Волновая рамка - Hueforge;Бесплатно;Бесплатно;0%
Вязаный кит;262,21 Pуб;262,21 Pуб;0%
Настенное искусство граффити Чингис 3D;495,36 Pуб;495,36 Pуб;0%
Настенное искусство граффити Чингис 3D;495,36 Pуб;495,36 Pуб;0%
Наименование;Цена;Старая цена;Скидка
Тимоти Кью Маус;90,42 Pуб;90,42 Pуб;0%
РАЗРУШАЮЩАЯСЯ КАТАНА  МАСКА - САБИТО - ИСТРЕБИТЕЛЬ ДЕМОНОВ - ПЕЧАТЬ НА МЕСТЕ  ВЕРСИЯ ДЛЯ СБОРКИ;246,69 Pуб;246,69 Pуб;0%
В комплект входит цветной файл с изображением жуткого Лох-Несса ;272,45 Pуб;272,45 Pуб;0%
Принт-ин-плейс АРТИКУЛИРОВАННЫЙ КРОКОДИЛ;346,60 Pуб;346,60 Pуб;0%
Обезьянка Флекси и маленькие обезьянки;247,68 Pуб;247,68 Pуб;0%
Тацумаки - человек одного удара;990,71 Pуб;990,71 Pуб;0%
Женщина-хранительница;Бесплатно;Бесплатно;0%
Flexi Factory Skeleton Mammoth;357,14 Pуб;357,14 Pуб;0%
Киборг настенное украшениесекретный ящик;297,21 Pуб;297,21 Pуб;0%
Шахматы с единорогом - личное пользование;Бесплатно;Бесплатно;0%
Кэндимен;148,61 Pуб;148,61 Pуб;0%
Flexi Print-in-Place Mario;266,73 Pуб;266,73 Pуб;0%
Шахматы с единорогом - коммерческое использование;494,37 Pуб;494,37 Pуб;0%
Держатель для ручки Дракон  копилка  поддержка бесплатно ;544,89 Pуб;544,89 Pуб;0%
Дэдпул и Росомаха  вязание крючком  поддержка бесплатно ;544,89 Pуб;544,89 Pуб;0%
Портрет антилопы импала;0.85;1 971.52 Pуб;-15%
Бородатый дракон Pogona viticeps портрет;980,80 Pуб;980,80 Pуб;0%
Шарнирная кукла Adventure Time Lemon Sweets с вязаной текстурой lemongrab doll;169.53;339.06 Pуб;-50%
ДЕРЖАТЕЛЬ ДЖОЙСТИКА UMBREON - ДЕРЖАТЕЛЬ КОНТРОЛЛЕРА POKEMON;346,75 Pуб;346,75 Pуб;0%
Гибкий кекс Черепаха;144.66;289.33 Pуб;-50%
Хортон 229;1 727,10 Pуб;1 727,10 Pуб;0%
Робот Гизмо - цвета;346,75 Pуб;346,75 Pуб;0%
Череп диплодока;632,91 Pуб;632,91 Pуб;0%
Реконструкция черепа Sahelanthropus tchadensis;1 486,07 Pуб;1 486,07 Pуб;0%
Стивен МакТаули - Фигурка из Южного парка;229,28 Pуб;229,28 Pуб;0%
Настенный светильник Облака;198,14 Pуб;198,14 Pуб;0%
LightGRIP  низкополигональный ручной фонарь;891,64 Pуб;891,64 Pуб;0%
артикулированный;271,25 Pуб;271,25 Pуб;0%
Механические шестеренки Череп;594,43 Pуб;594,43 Pуб;0%
Многослойные щенки 200 пород - Векторы лазерная резка и гравировка;297,21 Pуб;297,21 Pуб;0%
Симпатичный кролик Flexi Bunny - печать на месте;230.88;329.83 Pуб;-30%
Статлер Энд Уолдорф;549,85 Pуб;549,85 Pуб;0%
Милая горная корова;197,15 Pуб;197,15 Pуб;0%
Деревянный шар с лазерной резкой;Бесплатно;Бесплатно;0%
Милый крошечный Ти-Рекс - Гибкий - Печать на месте - Без опор;Бесплатно;Бесплатно;0%
Сексуальный сноуборд Фландерс;Бесплатно;Бесплатно;0%
Печать на месте Артикуляционный носок Monkey;316,46 Pуб;316,46 Pуб;0%
Pokemon Zamazenta Shield 0889;315,72 Pуб;315,72 Pуб;0%
Хамелеон Flexi Articulated Lizard;176,31 Pуб;176,31 Pуб;0%
РОГАТЫЙ ДРАКОН ШАРНИРНЫЙ ГИБКИЙ ПЕЧАТЬ НА МЕСТЕ;376,47 Pуб;376,47 Pуб;0%
РОГАТЫЙ ДРАКОН ШАРНИРНЫЙ ГИБКИЙ ПЕЧАТЬ НА МЕСТЕ;376,47 Pуб;376,47 Pуб;0%
Наименование;Цена;Старая цена;Скидка
Пазл Горилла из низкой полировки;293,85 Pуб;293,85 Pуб;0%
ДИЕГО - САБЛЕЗУБЫЙ ТИГР - ГИБКИЙ - ШАРНИРНЫЙ;307,12 Pуб;307,12 Pуб;0%
Реалистичная шарнирная гибкая игрушка Лиса Феннек;247,68 Pуб;247,68 Pуб;0%
Розовая змея флекси-принт на месте весенняя змея;361,66 Pуб;361,66 Pуб;0%
Покемон Вулканион;315,72 Pуб;315,72 Pуб;0%
Pokemon Ninetales;315,72 Pуб;315,72 Pуб;0%
ПЕЧАТЬ НА МЕСТЕ МИЛЫЙ ОРЕЛ ГАРПИЯ;313,03 Pуб;313,03 Pуб;0%
Вязаная Харли Квинн;262,21 Pуб;262,21 Pуб;0%
Секционированная фигура;396,28 Pуб;396,28 Pуб;0%
ЯЩЕРИЦА ШАРНИРНАЯ ГИБКАЯ;324,30 Pуб;324,30 Pуб;0%
Плюшевый мишка Flexi Stitches;Бесплатно;Бесплатно;0%
Стул Барселона;180,83 Pуб;180,83 Pуб;0%
Capsule Corp Коробка для хранения;89,51 Pуб;89,51 Pуб;0%
Быстрая и легкая печать - Спирифический круг - PLA;269,98 Pуб;269,98 Pуб;0%
Птица на качелях без поддержки;Бесплатно;Бесплатно;0%
Бомбардировщик Стелс B-2 Spirit компании Northrop Grumman;1 727,10 Pуб;1 727,10 Pуб;0%
Многоцветная реалистичная скульптура воющего волка;361,66 Pуб;361,66 Pуб;0%
ДЕРЖАТЕЛЬ ДЖОЙСТИКА MEW - ДЕРЖАТЕЛЬ КОНТРОЛЛЕРА POKEMON;297,21 Pуб;297,21 Pуб;0%
Черепашка-ниндзя - туловище разделенное на цвета;346,75 Pуб;346,75 Pуб;0%
Apex - 3D-печатная мраморная машина;Бесплатно;Бесплатно;0%
MONSTER;1 100 Pуб;1 100 Pуб;0%
МОДУЛЬНАЯ - защелкивающаяся стойка;316,46 Pуб;316,46 Pуб;0%
Агапорни;297,21 Pуб;297,21 Pуб;0%
Crochet Cat Piggy Bank без поддержки;346,75 Pуб;346,75 Pуб;0%
ФАКОХОЭРУС АФРИКАНСКИЙ;1 000 Pуб;1 000 Pуб;0%
Digimon - FunbeemonFanbeemon;148,61 Pуб;148,61 Pуб;0%
BAT-BABY ЛЕГКАЯ ПЕЧАТЬ БЕЗ ПОДДЕРЖКИ;385,39 Pуб;385,39 Pуб;0%
The Ghoul - Fallout TV Series - Обновлено новой ссылкой на описание стенда;Бесплатно;Бесплатно;0%
Кошка и котенок - модель ко Дню матери;Бесплатно;Бесплатно;0%
Леденец Дэдпул Героическая рука - Росомаха Ссылка на описание;288,04 Pуб;288,04 Pуб;0%
TOMY RUGRATS -FLEXI-MULTICOLOR;361,66 Pуб;361,66 Pуб;0%
ЗНАК ПОРОКА GTA VI 6 GRAND THEFT AUTO 6 VI;296,22 Pуб;296,22 Pуб;0%
Шредер Flexi Print-in-Place;266,73 Pуб;266,73 Pуб;0%
Голова фонтана Кошмар перед Рождеством Хэллоуинский городок;297,21 Pуб;297,21 Pуб;0%
Дигимон - Катемон;99,07 Pуб;99,07 Pуб;0%
Монстр судьбы - 3D печатная фигурка;1 801,15 Pуб;1 801,15 Pуб;0%
Расслабляющий крокодил;147,62 Pуб;147,62 Pуб;0%
Flexi Piranha Fish Skeleton Print In Place;189,87 Pуб;189,87 Pуб;0%
ДЕРЖАТЕЛЬ ДЛЯ АКВАРЕЛИ 15U;180,83 Pуб;180,83 Pуб;0%
Переворот текста - Защитник;361,61 Pуб;361,61 Pуб;0%
Переворот текста - Защитник;361,61 Pуб;361,61 Pуб;0%
Наименование;Цена;Старая цена;Скидка
ДЭДПУЛ ПОПКОРН ВЕДРО МСТИТЕЛИ РОСОМАХА;723,33 Pуб;723,33 Pуб;0%
ДЕРЖАТЕЛЬ ДЛЯ МОТОЦИКЛЕТНОГО ШЛЕМА С ЧЕРЕПОМ;376,47 Pуб;376,47 Pуб;0%
Вязаный Железный человек;262,21 Pуб;262,21 Pуб;0%
BeerDeer Открывалка для бутылок;Бесплатно;Бесплатно;0%
МИНИМАЛИСТИЧНОЕ ДЕРЕВО;Бесплатно;Бесплатно;0%
Пивная рыба Открывалка для бутылок;89,51 Pуб;89,51 Pуб;0%
Быстрый рисунок МакГроу легкая печать и легкая сборка;173,37 Pуб;173,37 Pуб;0%
Фигурка Джанемба Dragon ball;485,45 Pуб;485,45 Pуб;0%
Лягушка бобер и попугай;594,43 Pуб;594,43 Pуб;0%
Милый кролик - Кавайный кролик - STL  3mf Многоцветный;90,42 Pуб;90,42 Pуб;0%
анатомический ползун;339,06 Pуб;339,06 Pуб;0%
росомаха v02 112 шарнирная фигурка;990,71 Pуб;990,71 Pуб;0%
МИНИ-КАТАНА - ЭНМА - ЗОРО - ОДНА ШТУКА;222,91 Pуб;222,91 Pуб;0%
Трио Фуркорн  Мои поющие монстры Фигурки;Бесплатно;Бесплатно;0%
Budgie;215,40 Pуб;215,40 Pуб;0%
Nuka cola Fridge-Fallout фанарт;297,21 Pуб;297,21 Pуб;0%
Хейрли Куинн;Бесплатно;Бесплатно;0%
Тони Тони Чоппер Амиудаке - Morgensternprinting;495,36 Pуб;495,36 Pуб;0%
ПОДСТАВКА ДЛЯ КНИГИ С ИЗМУЧЕННОЙ КОШКОЙ;Бесплатно;Бесплатно;0%
Геометрический пейзаж разделенный на цвета;247,68 Pуб;247,68 Pуб;0%
Чайный светильник Статуэтка Демигузы Наследие Хогвартса;Бесплатно;Бесплатно;0%
Бог Усопп - Morgensternprinting;495,36 Pуб;495,36 Pуб;0%
Подставка для книги Бэтмен;226,04 Pуб;226,04 Pуб;0%
Кошки в коробках;215,40 Pуб;215,40 Pуб;0%
Принт в виде маленькой морской черепахи;183,28 Pуб;183,28 Pуб;0%
Windspinner Hummingbird с предварительной поддержкой;99,07 Pуб;99,07 Pуб;0%
Мама и детеныш кошки;Бесплатно;Бесплатно;0%
медвежий кирпич 400;98,06 Pуб;98,06 Pуб;0%
Логотип супермаркета Chicken Acuenta;565,10 Pуб;565,10 Pуб;0%
альф;452,08 Pуб;452,08 Pуб;0%
ШАРНИРНЫЙ МИЛЫЙ ЧЕРЕП С БЕЗВОЗДУШНЫМ МЯЧОМ ДЛЯ БАСКЕТБОЛА BALLER GUY;594,43 Pуб;594,43 Pуб;0%
Шарнирная качающаяся черепаха;366,56 Pуб;366,56 Pуб;0%
Avatar The Last Airbender Skull;198,14 Pуб;198,14 Pуб;0%
Настенное искусство Curves;Бесплатно;Бесплатно;0%
Веном - Marvel 3D print Model 3D print model;1 356,24 Pуб;1 356,24 Pуб;0%
Команды Формулы-1;Бесплатно;Бесплатно;0%
NITARA MK12;1 300 Pуб;1 300 Pуб;0%
Забавный Губка Боб легкая печать и простая сборка;173,37 Pуб;173,37 Pуб;0%
Шарнирный кот 3D;135.62;271.25 Pуб;-50%
Талисман для волос Гоку Саяин;69,35 Pуб;69,35 Pуб;0%
Талисман для волос Гоку Саяин;69,35 Pуб;69,35 Pуб;0%
